source,target,source_uniprot,target_uniprot,directionality,classification
CDH1,KLRG1,P12830,Q96E93,Ligand-Receptor,Adhesion by Cadherin
CDH2,CDH2,P19022,P19022,Adhesion-Adhesion,Adhesion by Cadherin
CDH2,FCER2,P19022,P06734,Ligand-Receptor,Adhesion by Cadherin
CDH3,CDH3,P22223,P22223,Adhesion-Adhesion,Adhesion by Cadherin
CDH5,CDH5,P33151,P33151,Adhesion-Adhesion,Adhesion by Cadherin
CDH6,CDH6,P55285,P55285,Adhesion-Adhesion,Adhesion by Cadherin
CDH7,CDH7,Q9ULB5,Q9ULB5,Adhesion-Adhesion,Adhesion by Cadherin
CADM1,CADM1,Q9BY67,Q9BY67,Adhesion-Adhesion,Adhesion by CADM
CADM1,NECTIN3,Q9BY67,Q9NQS3,Adhesion-Adhesion,Adhesion by CADM
CADM3,CADM1,Q8N126,Q9BY67,Adhesion-Adhesion,Adhesion by CADM
CADM3,CADM4,Q8N126,Q8NFZ8,Adhesion-Adhesion,Adhesion by CADM
CADM3,EPB41L1,Q8N126,Q9H4G0,Adhesion-Adhesion,Adhesion by CADM
CADM3,NECTIN3,Q8N126,Q9NQS3,Adhesion-Adhesion,Adhesion by CADM
CEACAM1,CD209,P13688,Q9NNX6,Adhesion-Adhesion,Adhesion by CEAM
CEACAM1,CEACAM6,P13688,P40199,Adhesion-Adhesion,Adhesion by CEAM
CEACAM1,CEACAM8,P13688,P31997,Adhesion-Adhesion,Adhesion by CEAM
CEACAM1,SELE,P13688,P16581,Adhesion-Adhesion,Adhesion by CEAM
CEACAM5,CD1D,P06731,P15813,Adhesion-Adhesion,Adhesion by CEAM
CEACAM5,CD8A,P06731,P01732,Adhesion-Adhesion,Adhesion by CEAM
CEACAM5,CEACAM1,P06731,P13688,Adhesion-Adhesion,Adhesion by CEAM
CEACAM5,CEACAM6,P06731,P40199,Adhesion-Adhesion,Adhesion by CEAM
CEACAM6,CEACAM6,P40199,P40199,Adhesion-Adhesion,Adhesion by CEAM
CEACAM8,CEACAM6,P31997,P40199,Adhesion-Adhesion,Adhesion by CEAM
COL3A1,ADGRG1,P02461,Q9Y653,Adhesion-Adhesion,Adhesion by Collagen/Integrin
COL4A1,ADGRG6,P02462,Q86SQ4,Adhesion-Adhesion,Adhesion by Collagen/Integrin
COL4A2,ADGRG6,P08572,Q86SQ4,Adhesion-Adhesion,Adhesion by Collagen/Integrin
COL4A3,ADGRG6,Q01955,Q86SQ4,Adhesion-Adhesion,Adhesion by Collagen/Integrin
COL4A4,ADGRG6,P53420,Q86SQ4,Adhesion-Adhesion,Adhesion by Collagen/Integrin
COL4A5,ADGRG6,P29400,Q86SQ4,Adhesion-Adhesion,Adhesion by Collagen/Integrin
COL4A6,ADGRG6,Q14031,Q86SQ4,Adhesion-Adhesion,Adhesion by Collagen/Integrin
DSC1,DSG2,Q08554,Q14126,Adhesion-Adhesion,Adhesion by Desmosome
DSC2,DSG2,Q02487,Q14126,Adhesion-Adhesion,Adhesion by Desmosome
DSG1,DSC1,Q02413,Q08554,Adhesion-Adhesion,Adhesion by Desmosome
DSG1,DSC2,Q02413,Q02487,Adhesion-Adhesion,Adhesion by Desmosome
DSG1,DSC3,Q02413,Q14574,Adhesion-Adhesion,Adhesion by Desmosome
DSG2,DSC3,Q14126,Q14574,Adhesion-Adhesion,Adhesion by Desmosome
DAG1,CELSR3,Q14118,Q9NYQ7,Adhesion-Adhesion,
GJA1,GJA1,P17302,P17302,Gap-Gap,Adhesion by GAP junction
GJA1,GJA5,P17302,P36382,Gap-Gap,Adhesion by GAP junction
GJA3,GJA1,Q9Y6H8,P17302,Gap-Gap,Adhesion by GAP junction
GJA3,GJA3,Q9Y6H8,Q9Y6H8,Gap-Gap,Adhesion by GAP junction
GJA3,GJA5,Q9Y6H8,P36382,Gap-Gap,Adhesion by GAP junction
GJA3,GJC1,Q9Y6H8,P36383,Gap-Gap,Adhesion by GAP junction
